Brand Name,Reasons
"Dark Horse Comics, Inc.",
"DarkHorse Ranch, Inc.",
"Dash America dba Pearl Izumi, Inc.",
Dassault Systemes S.A.,
Data Professionals,
Dave Fant Company Of Arkansas Inc,
Dave's Discount Motors,
Davey,
David Barton,
Davidson Photography,
DAY & NIGHT,
DB Sonic,
DDF,
De-Bird,
Dead Sea,
Deborah Lippman,
DecoBros or Deco Brothers,
Decor Therapy,
DEKOR Baby,
Del Hutson Designs ,
Dell,
Della,
Delphi Technologies,
"Delta Air Lines, Inc.",
Delta Children,
Deluxe Comfort,
Demeyere,
Dentyne,
Deny Designs,
Depend Health and Personal Care,
Dermalogica,
Dermorganic,
Designer Habitat,
Dewalt,
Dial Vision,
Dick Harrell,
Dickies,
Diesel,
"Digium, Inc.",
Dimplex (U.K.),
Dinty Moore,
"Dionne Quintuplets, The",
Dirt Devil,infringement complaint for inauthentic product
Disc-O-Bed,
Discovery,
Discovery #Mindblown,
Discovery Kids,
Disney,
Divine LEDs,
DJI,
DKNY,
DMS International,
Dockers,
Doctor's Associates Inc. dba Subway,
Doggie Bow Ties,
Dolby Laboratories Inc. (“Dolby”),
Dolce & Gabbana,
Domata,
Domu Brands,
Don Pablo coffee,
"DONMAR Enterprises, Inc. - SKYROOF®",
Doterra,
Dove,
Dove Chocolate,
Doze,
Dozen Egg,
DPCD,
dpHUE,
Dr Denese,
Dr Tobia,
DR-HO'S,
Dr. Brandt,
Dr. Brown's BPA Free Deluxe Gift Set,
Dr. Denese,
Dr. Denese (Also known as SkinScience),
Dr. Dennis Gross Skin Care,
Dr. Tobia,
Drano,
Dream Furniture,
DreamBone,
Dreamspa,
dremel,
DressThatMan.com,
DriftAway,
"Drive-In Exchange, Ltd",
Driver,
DropCrate LLC,
DryGuy,
DTX International,
DUALIT,
Duchess,
Duchess (by Lambs and Ivy),
Duck,
Duke of Pearl LLC,
Dunkin Donuts,
"Dunlop Manufacturing, Inc.",
DUOMAT,
DYMO,
Dynacraft,
Dynamic Resource Group,
DynaTrap,
Dyson,
E.I. du Pont de Nemours and Company,Infringement type: Trademark 
Eagle,
Eagle Creek Enterprises - Tim Cox Fine Art,
Eames Office - Lucia Eames,
Earth Body,
Earth Mama Angel Baby,
Earth Pan,
Earth Rated,
Earth's Best,
Earthlite,
EASTON SPORTS INC,
EasyGo Nativity,
"ECLIPSE RECORDS, INC",
Eco Breeze,
Eco Defense,
EcoPure,
"Ecosphere Associates, Inc.",
Eddie Bauer,
EdenPURE,
"Edgar Rice Burroughs, Inc.",Trademark Infringement
Edge of Belgravia,
Edison Nation,
EFI Live Limited Co.,
EGO,
Egoz,
Egyptian Magic,
Electro-Harmonix Effects,
Electrolux,
Elegant Comfort,
Elf on the Shelf,
Elizabeth Arden,
Ellia,
Ellie’s Best,
Elmer’s,
Ember Candles,
Emerald Cove,
Emeril,
Emi-Jay,
Eminence,
Emopeak,
Emson,
Endangered Species,
Energizer,
Enfamil,
Engel,
enMotion,
Entertainment One,
Envion ,
Environ Skin Care Pty Ltd,
Ephoto,
Epic Coolers,
Epic Deluxe,
Epicurian Discovery,
Epilady,
Epson,
Eqyss,
Era,
ERGObaby,
Erica Skadsen/Organic,
Erlene / Erlene Home Fashions,
Erligpowht,
Escada,
eSecure,
ESPRESSIONE,
Essie,
"Estate of Marilyn Monroe, LLC",
Estilo,
Estroven,
Etekcity,
Etienne Aigner AG,
etrailer.com,
Eufora,
Euro Cuisine,
Euro-Pro Shark,
Eurotech Photographics,
Evelots,
Evenflo,
Evolutionize,
Excedrin,
Excel,
Excel International,
Excel Mist,
Excel White,
Excelvan,
Exceptional Home Zoo,
Exel Products,
Experience,
EXPO,
Extract-All,
Eyeko,
EZ CHANGE,
EZ Drinker,
EZ Shelf - the best closet organizer - tube technology,
ezShade,
FabJob.com,
Fabriika,
Facelift Ent. Inc,
Fagor America,
Fair & White/Fair and White,
Fancyus,
Fantasy Fields,
